timestamp,current,context_current,date (Asia/Kolkata)
1665144445515,0.835,{},2022-10-07 17:37:25.515000+05:30
1665144259867,0.869,{},2022-10-07 17:34:19.867000+05:30
1665144012290,0.705,{},2022-10-07 17:30:12.290000+05:30
1665143888476,0.688,{},2022-10-07 17:28:08.476000+05:30
1665143769025,0.581,{},2022-10-07 17:26:09.025000+05:30
1665143579003,0.626,{},2022-10-07 17:22:59.003000+05:30
1665143393257,0.643,{},2022-10-07 17:19:53.257000+05:30
1665143331377,0.633,{},2022-10-07 17:18:51.377000+05:30
1665143269499,0.491,{},2022-10-07 17:17:49.499000+05:30
1665143083829,0.479,{},2022-10-07 17:14:43.829000+05:30
1665142774242,0.463,{},2022-10-07 17:09:34.242000+05:30
1665142712313,0.456,{},2022-10-07 17:08:32.313000+05:30
1665142693086,0.491,{},2022-10-07 17:08:13.086000+05:30
1665142588429,0.477,{},2022-10-07 17:06:28.429000+05:30
1665142340772,0.627,{},2022-10-07 17:02:20.772000+05:30
1665142278913,0.651,{},2022-10-07 17:01:18.913000+05:30
1665142217062,0.645,{},2022-10-07 17:00:17.062000+05:30
1665142155236,0.614,{},2022-10-07 16:59:15.236000+05:30
1665142093420,0.61,{},2022-10-07 16:58:13.420000+05:30
1665142031598,0.598,{},2022-10-07 16:57:11.598000+05:30
1665141845966,0.588,{},2022-10-07 16:54:05.966000+05:30
1665141722152,0.586,{},2022-10-07 16:52:02.152000+05:30
1665141660271,0.586,{},2022-10-07 16:51:00.271000+05:30
1665141536416,0.596,{},2022-10-07 16:48:56.416000+05:30
1665141474552,0.578,{},2022-10-07 16:47:54.552000+05:30
1665141412668,0.616,{},2022-10-07 16:46:52.668000+05:30
1665141355636,0.589,{},2022-10-07 16:45:55.636000+05:30
1665141165252,0.605,{},2022-10-07 16:42:45.252000+05:30
1665140917464,0.586,{},2022-10-07 16:38:37.464000+05:30
1665140868325,0.597,{},2022-10-07 16:37:48.325000+05:30
1665140796524,0.602,{},2022-10-07 16:36:36.524000+05:30
1665140732208,0.588,{},2022-10-07 16:35:32.208000+05:30
1665140669649,0.605,{},2022-10-07 16:34:29.649000+05:30
1665140607723,0.596,{},2022-10-07 16:33:27.723000+05:30
1665140360216,0.692,{},2022-10-07 16:29:20.216000+05:30
1665140236937,0.715,{},2022-10-07 16:27:16.937000+05:30
1665140174635,0.721,{},2022-10-07 16:26:14.635000+05:30
1665139988988,0.822,{},2022-10-07 16:23:08.988000+05:30
1665139927086,0.594,{},2022-10-07 16:22:07.086000+05:30
1665139865197,0.386,{},2022-10-07 16:21:05.197000+05:30
1665139741377,0.389,{},2022-10-07 16:19:01.377000+05:30
1665139679465,0.402,{},2022-10-07 16:17:59.465000+05:30
1665139555641,0.396,{},2022-10-07 16:15:55.641000+05:30
1665139493702,0.397,{},2022-10-07 16:14:53.702000+05:30
1665139063618,0.397,{},2022-10-07 16:07:43.618000+05:30
1665138998306,0.391,{},2022-10-07 16:06:38.306000+05:30
1665138936482,0.399,{},2022-10-07 16:05:36.482000+05:30
1665138921384,0.518,{},2022-10-07 16:05:21.384000+05:30
1665138689054,0.547,{},2022-10-07 16:01:29.054000+05:30
1665138629913,0.411,{},2022-10-07 16:00:29.913000+05:30
1665138565444,0.42,{},2022-10-07 15:59:25.444000+05:30
1665138441382,0.417,{},2022-10-07 15:57:21.382000+05:30
1665138379315,0.428,{},2022-10-07 15:56:19.315000+05:30
1665138317393,0.549,{},2022-10-07 15:55:17.393000+05:30
1665138255545,0.585,{},2022-10-07 15:54:15.545000+05:30
1665138069897,0.555,{},2022-10-07 15:51:09.897000+05:30
1665137884057,0.567,{},2022-10-07 15:48:04.057000+05:30
