timestamp,pond-temperature,context_pond-temperature,date
1640366522567,21.81,{},2021-12-24 22:52:02.567000+05:30
1640366151380,22.0,{},2021-12-24 22:45:51.380000+05:30
1640365780195,21.88,{},2021-12-24 22:39:40.195000+05:30
1640365409308,21.81,{},2021-12-24 22:33:29.308000+05:30
1640365037832,21.88,{},2021-12-24 22:27:17.832000+05:30
1640364666652,21.88,{},2021-12-24 22:21:06.652000+05:30
1640364295705,21.94,{},2021-12-24 22:14:55.705000+05:30
1640363924277,21.94,{},2021-12-24 22:08:44.277000+05:30
1640363553067,22.0,{},2021-12-24 22:02:33.067000+05:30
1640363181869,22.06,{},2021-12-24 21:56:21.869000+05:30
1640362810677,22.0,{},2021-12-24 21:50:10.677000+05:30
1640362441872,22.13,{},2021-12-24 21:44:01.872000+05:30
1640362068223,22.13,{},2021-12-24 21:37:48.223000+05:30
1640361698226,22.13,{},2021-12-24 21:31:38.226000+05:30
1640360954365,22.13,{},2021-12-24 21:19:14.365000+05:30
1640360583049,22.19,{},2021-12-24 21:13:03.049000+05:30
1640360212030,22.19,{},2021-12-24 21:06:52.030000+05:30
1640359840325,22.25,{},2021-12-24 21:00:40.325000+05:30
1640359468933,22.25,{},2021-12-24 20:54:28.933000+05:30
1640358726164,22.31,{},2021-12-24 20:42:06.164000+05:30
1640358354758,22.25,{},2021-12-24 20:35:54.758000+05:30
1640357983372,22.38,{},2021-12-24 20:29:43.372000+05:30
1640357611903,22.38,{},2021-12-24 20:23:31.903000+05:30
1640357240497,22.44,{},2021-12-24 20:17:20.497000+05:30
1640356874900,22.56,{},2021-12-24 20:11:14.900000+05:30
1640356497524,22.44,{},2021-12-24 20:04:57.524000+05:30
1640356126064,22.5,{},2021-12-24 19:58:46.064000+05:30
1640355754485,22.5,{},2021-12-24 19:52:34.485000+05:30
1640355382932,22.44,{},2021-12-24 19:46:22.932000+05:30
1640355011370,22.56,{},2021-12-24 19:40:11.370000+05:30
1640354639804,22.56,{},2021-12-24 19:33:59.804000+05:30
1640354268959,22.5,{},2021-12-24 19:27:48.959000+05:30
1640353524938,22.56,{},2021-12-24 19:15:24.938000+05:30
1640353153295,22.56,{},2021-12-24 19:09:13.295000+05:30
1640352410198,22.63,{},2021-12-24 18:56:50.198000+05:30
1640351294804,22.63,{},2021-12-24 18:38:14.804000+05:30
1640350923046,22.69,{},2021-12-24 18:32:03.046000+05:30
1640350551551,22.63,{},2021-12-24 18:25:51.551000+05:30
1640350179408,22.69,{},2021-12-24 18:19:39.408000+05:30
1640349807567,22.75,{},2021-12-24 18:13:27.567000+05:30
1640349435912,22.75,{},2021-12-24 18:07:15.912000+05:30
1640348691907,22.75,{},2021-12-24 17:54:51.907000+05:30
1640348320007,22.81,{},2021-12-24 17:48:40.007000+05:30
1640344671952,22.63,{},2021-12-24 16:47:51.952000+05:30
1640344299526,22.56,{},2021-12-24 16:41:39.526000+05:30
1640343927067,22.63,{},2021-12-24 16:35:27.067000+05:30
1640343554564,22.56,{},2021-12-24 16:29:14.564000+05:30
1640342809456,22.5,{},2021-12-24 16:16:49.456000+05:30
1640342072399,22.63,{},2021-12-24 16:04:32.399000+05:30
1640341699716,22.63,{},2021-12-24 15:58:19.716000+05:30
1640341327096,22.44,{},2021-12-24 15:52:07.096000+05:30
1640340954452,22.44,{},2021-12-24 15:45:54.452000+05:30
1640340209059,22.44,{},2021-12-24 15:33:29.059000+05:30
1640339836352,22.31,{},2021-12-24 15:27:16.352000+05:30
1640339463649,22.31,{},2021-12-24 15:21:03.649000+05:30
1640339090944,22.44,{},2021-12-24 15:14:50.944000+05:30
1640338718221,22.31,{},2021-12-24 15:08:38.221000+05:30
1640337972822,22.31,{},2021-12-24 14:56:12.822000+05:30
1640337600052,22.19,{},2021-12-24 14:50:00.052000+05:30
1640336854595,22.25,{},2021-12-24 14:37:34.595000+05:30
1640336109199,22.25,{},2021-12-24 14:25:09.199000+05:30
1640335736543,22.19,{},2021-12-24 14:18:56.543000+05:30
1640335363912,22.13,{},2021-12-24 14:12:43.912000+05:30
1640334991316,22.19,{},2021-12-24 14:06:31.316000+05:30
1640334618791,22.25,{},2021-12-24 14:00:18.791000+05:30
1640329316320,21.0,{},2021-12-24 12:31:56.320000+05:30
